Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;Ano
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;53376329718;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1117005580;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;372550828,9;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;01.032 - Controle Externo;siconfi-cor_TotalDespesas;259862213,9;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;438487323,6;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;46105213,35;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;2298430665;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;1668575315;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;02.122 - Administração Geral;siconfi-cor_TotalDespesas;403004882;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;FU02 - Demais Subfunções;siconfi-cor_TotalDespesas;226850467,7;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;1094022912;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;03.091 - Defesa da Ordem Jurídica;siconfi-cor_TotalDespesas;506917075,3;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;03.092 - Representação Judicial e Extrajudicial;siconfi-cor_TotalDespesas;179978715,3;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;308761813,4;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;98365307,78;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;1310556778;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;6083401,69;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;993476144,1;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;81358296,31;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;145427977,5;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;130360;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;3299937,59;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;80780661,32;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4368430595;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;341433149,3;2021
Governo do Estado da Bahia;29;BA;14930634;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;45880896,58;2021
